VialID	box	rack	run	vials	atac	timecoursev2	run_real	POP	thaw_date	p3_date	lib_prep__date	p3_experimenter	lib_prep__experimenter	ash_num	index	COND	well	lib_1	lib_2	TP	IID	Age	Gender
SV15	Buffy	Buffy	13	2	FALSE	FALSE	13	ASH	180521	190521	200521	ABYA	YA		2	COV	B5	99	103	T6	ASH068	36	M
SV15	Buffy	Buffy	13	2	FALSE	FALSE	13	ASH	180521	190521	200521	ABYA	YA		2	IAV	B5	98	102	T6	ASH068	36	M
SV15	Buffy	Buffy	13	2	FALSE	FALSE	13	ASH	180521	190521	200521	ABYA	YA		2	NS	B5	100	104	T6	ASH068	36	M
SV16	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		7	COV	D5	91	95	T6	ASH069	28	F
SV16	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		7	IAV	D5	90	94	T6	ASH069	28	F
SV16	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		7	NS	D5	92	96	T6	ASH069	28	F
SV17	Buffy	Buffy	13	2	FALSE	FALSE	13	ASH	180521	190521	200521	ABYA	YA		3	COV	D3	98	102	T6	ASH070	26	M
SV17	Buffy	Buffy	13	2	FALSE	FALSE	13	ASH	180521	190521	200521	ABYA	YA		3	IAV	D3	97	101	T6	ASH070	26	M
SV17	Buffy	Buffy	13	2	FALSE	FALSE	13	ASH	180521	190521	200521	ABYA	YA		3	NS	D3	99	103	T6	ASH070	26	M
SV19	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		8	COV	D7	92	96	T6	ASH071	32	F
SV19	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		8	IAV	D7	91	95	T6	ASH071	32	F
SV19	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		8	NS	D7	89	93	T6	ASH071	32	F
SV2	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		3	COV				T6	ASH061	50	M
SV2	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		3	IAV				T6	ASH061	50	M
SV2	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		3	NS				T6	ASH061	50	M
SV3	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		4	COV	B7	92	96	T6	ASH062	24	M
SV3	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		4	IAV	B7	91	95	T6	ASH062	24	M
SV3	Buffy	Buffy	11	1	FALSE	FALSE	12	ASH	100521	110521	130521	ABYA	YA		4	NS	B7	89	93	T6	ASH062	24	M
SV8	Buffy	Buffy	10	1	FALSE	FALSE	10	ASH	40521	50521	60521	ABYA	YA		6	COV	D5	75	79	T6	ASH063	30	F
SV8	Buffy	Buffy	10	1	FALSE	FALSE	10	ASH	40521	50521	60521	ABYA	YA		6	IAV	D5	74	78	T6	ASH063	30	F
SV8	Buffy	Buffy	10	1	FALSE	FALSE	10	ASH	40521	50521	60521	ABYA	YA		6	NS	D5	76	80	T6	ASH063	30	F
SV9	Buffy	Buffy	10	1	FALSE	FALSE	10	ASH	40521	50521	60521	ABYA	YA		7	COV	D7	76	80	T6	ASH064	21	F
SV9	Buffy	Buffy	10	1	FALSE	FALSE	10	ASH	40521	50521	60521	ABYA	YA		7	IAV	D7	75	79	T6	ASH064	21	F
SV9	Buffy	Buffy	10	1	FALSE	FALSE	10	ASH	40521	50521	60521	ABYA	YA		7	NS	D7	73	77	T6	ASH064	21	F
